,0,1,2,3,4,5,6,7
0,9217481_11441803,0,25.0,87.0,12.0,145.0,352.0,274.0
0,9217481_11441803,1,25.0,117.0,12.0,145.0,352.0,274.0
0,9217481_11441803,2,25.0,212.0,144.0,133.0,251.0,274.0
0,9217481_11441803,3,43.0,87.0,56.0,109.0,174.0,90.0
0,9654072_11449303,0,34.0,110.0,85.0,150.0,243.0,268.0
0,9654072_11449303,1,40.0,110.0,93.0,150.0,234.0,267.0
0,9654072_11449303,2,34.0,212.0,147.0,135.0,243.0,268.0
0,9654072_11449303,3,51.0,120.0,85.0,103.0,166.0,102.0
0,9873103_11458303,0,27.0,76.0,18.0,142.0,369.0,265.0
0,9873103_11458303,1,29.0,84.0,18.0,142.0,369.0,265.0
0,9873103_11458303,2,27.0,185.0,142.0,140.0,219.0,261.0
0,9873103_11458303,3,44.0,76.0,44.0,115.0,164.0,82.0
0,9013161_12020303,0,36.0,84.0,68.0,142.0,248.0,277.0
0,9013161_12020303,1,40.0,84.0,76.0,142.0,241.0,277.0
0,9013161_12020303,2,36.0,220.0,148.0,133.0,248.0,271.0
0,9013161_12020303,3,46.0,99.0,68.0,106.0,179.0,136.0
0,9026695_11447503,0,25.0,74.0,43.0,147.0,314.0,261.0
0,9026695_11447503,1,29.0,116.0,63.0,147.0,236.0,261.0
0,9026695_11447503,2,25.0,213.0,133.0,144.0,244.0,258.0
0,9026695_11447503,3,50.0,74.0,43.0,117.0,314.0,122.0
0,9036287_11553603,0,25.0,67.0,62.0,146.0,243.0,280.0
0,9036287_11553603,1,28.0,99.0,79.0,146.0,234.0,280.0
0,9036287_11553603,2,25.0,205.0,144.0,140.0,243.0,270.0
0,9036287_11553603,3,44.0,67.0,62.0,111.0,159.0,98.0
0,9036771_11616503,0,35.0,133.0,86.0,138.0,309.0,260.0
0,9036771_11616503,1,38.0,144.0,86.0,138.0,309.0,260.0
0,9036771_11616503,2,35.0,216.0,159.0,131.0,244.0,256.0
0,9036771_11616503,3,66.0,133.0,90.0,75.0,143.0,96.0
0,9043637_11467502,0,26.0,49.0,46.0,149.0,243.0,290.0
0,9043637_11467502,1,26.0,93.0,66.0,149.0,235.0,290.0
0,9043637_11467502,2,26.0,208.0,147.0,145.0,243.0,281.0
0,9043637_11467502,3,44.0,49.0,46.0,112.0,167.0,83.0
0,9055038_11543703,0,14.0,75.0,53.0,151.0,378.0,374.0
0,9055038_11543703,1,14.0,75.0,53.0,151.0,378.0,374.0
0,9055038_11543703,2,30.0,204.0,158.0,128.0,234.0,259.0
0,9055038_11543703,3,58.0,92.0,68.0,108.0,157.0,96.0
0,9055512_11532503,0,30.0,105.0,73.0,155.0,360.0,267.0
0,9055512_11532503,1,30.0,120.0,89.0,155.0,360.0,267.0
0,9055512_11532503,2,31.0,210.0,149.0,124.0,250.0,260.0
0,9055512_11532503,3,47.0,105.0,73.0,100.0,174.0,101.0
0,9076489_11670403,0,30.0,115.0,60.0,138.0,239.0,257.0
0,9076489_11670403,1,30.0,115.0,72.0,138.0,233.0,257.0
0,9076489_11670403,2,31.0,202.0,137.0,132.0,239.0,255.0
0,9076489_11670403,3,50.0,118.0,60.0,109.0,191.0,97.0
0,9082159_11532403,0,25.0,67.0,72.0,136.0,243.0,283.0
0,9082159_11532403,1,25.0,69.0,87.0,136.0,236.0,283.0
0,9082159_11532403,2,28.0,212.0,153.0,134.0,243.0,271.0
0,9082159_11532403,3,56.0,67.0,72.0,107.0,157.0,106.0
0,9082640_11721503,0,25.0,32.0,58.0,139.0,218.0,277.0
0,9082640_11721503,1,26.0,32.0,68.0,139.0,206.0,277.0
0,9082640_11721503,2,25.0,184.0,133.0,136.0,218.0,258.0
0,9082640_11721503,3,47.0,51.0,58.0,104.0,124.0,85.0
0,9083500_11459703,0,30.0,49.0,4.0,153.0,356.0,300.0
0,9083500_11459703,1,33.0,49.0,4.0,150.0,353.0,260.0
0,9083500_11459703,2,30.0,200.0,141.0,133.0,228.0,261.0
0,9083500_11459703,3,46.0,62.0,63.0,153.0,356.0,300.0
0,9095715_11420903,0,4.0,100.0,3.0,124.0,364.0,356.0
0,9095715_11420903,1,4.0,100.0,3.0,124.0,364.0,356.0
0,9095715_11420903,2,30.0,211.0,151.0,118.0,238.0,250.0
0,9095715_11420903,3,46.0,110.0,84.0,97.0,173.0,108.0
0,9096724_11626403,0,29.0,96.0,56.0,137.0,240.0,270.0
0,9096724_11626403,1,30.0,111.0,73.0,137.0,233.0,270.0
0,9096724_11626403,2,29.0,207.0,140.0,132.0,240.0,265.0
0,9096724_11626403,3,47.0,96.0,56.0,109.0,178.0,94.0
0,9101270_11423303,0,13.0,84.0,32.0,155.0,362.0,359.0
0,9101270_11423303,1,13.0,110.0,32.0,155.0,362.0,359.0
0,9101270_11423303,2,27.0,193.0,130.0,125.0,225.0,239.0
0,9101270_11423303,3,46.0,84.0,52.0,98.0,157.0,86.0
0,9103783_11409903,0,25.0,93.0,47.0,154.0,252.0,277.0
0,9103783_11409903,1,25.0,107.0,61.0,154.0,243.0,277.0
0,9103783_11409903,2,27.0,214.0,146.0,144.0,252.0,268.0
